"Date","Transaction","Name","Memo","Amount"
"9/10/2019","DEBIT","DEBIT PURCHASE -VISA SALT LAKE CITY PSALT LAKE CIUT","Download from usbank.com. SALT LAKE CITY PSALT LAKE CIUT","-8.3200"
"9/10/2019","DEBIT","DEBIT PURCHASE -VISA SOUND TRANSIT - SEATTLE     WA","Download from usbank.com. SOUND TRANSIT - SEATTLE     WA","-5.0000"
"9/10/2019","DEBIT","DEBIT PURCHASE QFC #5807 2746 NSEATTLE     WA","Download from usbank.com. QFC #5807 2746 NSEATTLE     WA","-85.3900"
"9/10/2019","DEBIT","DEBIT PURCHASE IKEA SEATTLE    RENTON      WA","Download from usbank.com. IKEA SEATTLE    RENTON      WA","-2430.9100"
"9/11/2019","DEBIT","DEBIT PURCHASE -VISA CHIPOTLE 2574   SEATTLE     WA","Download from usbank.com. CHIPOTLE 2574   SEATTLE     WA","-7.9800"
"9/11/2019","DEBIT","DEBIT PURCHASE -VISA 76 - 76 UNIVERSISEATTLE     WA","Download from usbank.com. 76 - 76 UNIVERSISEATTLE     WA","-20.0600"
"9/13/2019","DEBIT","DEBIT PURCHASE -VISA CENTURYLINK SIMP800-201-4099LA","Download from usbank.com. CENTURYLINK SIMP800-201-4099LA","-65.0000"
"9/16/2019","CREDIT","ELECTRONIC DEPOSIT VENMO","Download from usbank.com. VENMO","1229.0200"
"9/16/2019","DEBIT","DEBIT PURCHASE -VISA MCDONALD'S F1697SEATTLE     WA","Download from usbank.com. MCDONALD'S F1697SEATTLE     WA","-3.5100"
"9/16/2019","DEBIT","DEBIT PURCHASE QFC #5807 2746 NSEATTLE     WA","Download from usbank.com. QFC #5807 2746 NSEATTLE     WA","-65.8000"
"9/18/2019","DEBIT","DEBIT PURCHASE -VISA UW HUB GAMES ARESEATTLE     WA","Download from usbank.com. UW HUB GAMES ARESEATTLE     WA","-4.4000"
"9/18/2019","DEBIT","DEBIT PURCHASE QFC #5807 2746 NSEATTLE     WA","Download from usbank.com. QFC #5807 2746 NSEATTLE     WA","-11.5200"
"9/20/2019","DEBIT","DEBIT PURCHASE QFC #5807 2746 NSEATTLE     WA","Download from usbank.com. QFC #5807 2746 NSEATTLE     WA","-7.7000"
"9/23/2019","DEBIT","DEBIT PURCHASE -VISA THE BRYANT CORNESEATTLE     WA","Download from usbank.com. THE BRYANT CORNESEATTLE     WA","-20.5600"
"9/23/2019","DEBIT","DEBIT PURCHASE -VISA UW COMMUTER SVCSSEATTLE     WA","Download from usbank.com. UW COMMUTER SVCSSEATTLE     WA","-4.0000"
"9/23/2019","DEBIT","DEBIT PURCHASE QFC #5807 2746 NSEATTLE     WA","Download from usbank.com. QFC #5807 2746 NSEATTLE     WA","-10.8900"
"9/23/2019","DEBIT","DEBIT PURCHASE QFC #5807 2746 NSEATTLE     WA","Download from usbank.com. QFC #5807 2746 NSEATTLE     WA","-50.9100"
"9/24/2019","CREDIT","ELECTRONIC DEPOSIT VENMO","Download from usbank.com. VENMO","301.9000"
"9/25/2019","DEBIT","DEBIT PURCHASE -VISA U BOOK STORE-U DSEATTLE     WA","Download from usbank.com. U BOOK STORE-U DSEATTLE     WA","-1.0500"
"9/30/2019","CREDIT","ELECTRONIC DEPOSIT VENMO","Download from usbank.com. VENMO","805.3500"
"9/30/2019","DEBIT","DEBIT PURCHASE -VISA RECYCLED CYCLESSEATTLE     WA","Download from usbank.com. RECYCLED CYCLESSEATTLE     WA","-65.3900"
"9/30/2019","DEBIT","DEBIT PURCHASE -VISA MCDONALD'S F1697SEATTLE     WA","Download from usbank.com. MCDONALD'S F1697SEATTLE     WA","-3.9500"
"9/30/2019","DEBIT","DEBIT PURCHASE -VISA VENMO*          Visa Direct NY","Download from usbank.com. VENMO*          Visa Direct NY","-620.0000"
"9/30/2019","DEBIT","DEBIT PURCHASE BEST BUY #470   SEATTLE     WA","Download from usbank.com. BEST BUY #470   SEATTLE     WA","-330.2900"
"9/30/2019","DEBIT","DEBIT PURCHASE QFC #5807 2746 NSEATTLE     WA","Download from usbank.com. QFC #5807 2746 NSEATTLE     WA","-22.0000"
"10/2/2019","DEBIT","DEBIT PURCHASE -VISA RECYCLED CYCLESSEATTLE     WA","Download from usbank.com. RECYCLED CYCLESSEATTLE     WA","-22.0200"
"10/7/2019","DEBIT","DEBIT PURCHASE -VISA THE BRYANT CORNESEATTLE     WA","Download from usbank.com. THE BRYANT CORNESEATTLE     WA","-15.1100"
"10/7/2019","DEBIT","DEBIT PURCHASE QFC #5807 2746 NSEATTLE     WA","Download from usbank.com. QFC #5807 2746 NSEATTLE     WA","-14.5200"
"10/7/2019","DEBIT","DEBIT PURCHASE -VISA VENMO*          Visa Direct NY","Download from usbank.com. VENMO*          Visa Direct NY","-3.0000"
"10/15/2019","DEBIT","DEBIT PURCHASE -VISA KEYME 888-380-038883800394  NY","Download from usbank.com. KEYME 888-380-038883800394  NY","-30.2200"
"10/15/2019","DEBIT","DEBIT PURCHASE QFC #5807 2746 NSEATTLE     WA","Download from usbank.com. QFC #5807 2746 NSEATTLE     WA","-10.3500"
"10/15/2019","DEBIT","DEBIT PURCHASE COSTCO WHSE #010SEATTLE     WA","Download from usbank.com. COSTCO WHSE #010SEATTLE     WA","-233.6500"
"10/21/2019","DEBIT","DEBIT PURCHASE -VISA CENTURYLINK SIMP800-201-4099LA","Download from usbank.com. CENTURYLINK SIMP800-201-4099LA","-65.0000"
"10/28/2019","DEBIT","DEBIT PURCHASE QFC #5807 2746 NSEATTLE     WA","Download from usbank.com. QFC #5807 2746 NSEATTLE     WA","-28.0000"
"10/30/2019","DEBIT","DEBIT PURCHASE -VISA VENMO*          Visa Direct NY","Download from usbank.com. VENMO*          Visa Direct NY","-600.0000"
"11/4/2019","CREDIT","ELECTRONIC DEPOSIT VENMO","Download from usbank.com. VENMO","750.0000"
"11/4/2019","DEBIT","DEBIT PURCHASE QFC #5807 2746 NSEATTLE     WA","Download from usbank.com. QFC #5807 2746 NSEATTLE     WA","-19.1200"
"11/7/2019","DEBIT","DEBIT PURCHASE SUPER JOCK N JILSEATTLE     WA","Download from usbank.com. SUPER JOCK N JILSEATTLE     WA","-132.1200"
"11/12/2019","DEBIT","DEBIT PURCHASE -VISA EUREKA! SEATTLE SEATTLE     WA","Download from usbank.com. EUREKA! SEATTLE SEATTLE     WA","-24.0000"
"11/12/2019","DEBIT","DEBIT PURCHASE -VISA VENMO*          Visa Direct NY","Download from usbank.com. VENMO*          Visa Direct NY","-13.0000"
"11/12/2019","DEBIT","DEBIT PURCHASE COSTCO WHSE #010SEATTLE     WA","Download from usbank.com. COSTCO WHSE #010SEATTLE     WA","-79.1400"
"11/18/2019","DEBIT","DEBIT PURCHASE QFC #5807 2746 NSEATTLE     WA","Download from usbank.com. QFC #5807 2746 NSEATTLE     WA","-18.7500"
"11/18/2019","DEBIT","DEBIT PURCHASE -VISA CENTURYLINK SIMP800-201-4099LA","Download from usbank.com. CENTURYLINK SIMP800-201-4099LA","-65.0000"
"11/20/2019","DEBIT","DEBIT PURCHASE QFC #5807 2746 NSEATTLE     WA","Download from usbank.com. QFC #5807 2746 NSEATTLE     WA","-10.6800"
"11/25/2019","DEBIT","DEBIT PURCHASE QFC #5807 2746 NSEATTLE     WA","Download from usbank.com. QFC #5807 2746 NSEATTLE     WA","-11.9300"
"11/26/2019","DEBIT","DEBIT PURCHASE -VISA MOD PIZZA FREMONSEATTLE     WA","Download from usbank.com. MOD PIZZA FREMONSEATTLE     WA","-8.6600"
"11/29/2019","DEBIT","DEBIT PURCHASE QFC #5807 2746 NSEATTLE     WA","Download from usbank.com. QFC #5807 2746 NSEATTLE     WA","-45.2500"
"11/29/2019","DEBIT","DEBIT PURCHASE QFC #5807 2746 NSEATTLE     WA","Download from usbank.com. QFC #5807 2746 NSEATTLE     WA","-4.8000"
